ot;periodo;serviciousuariots;paradero;punto;toc;varianza;n;fecha;IC
OT25;3;201ER;E-20-188-SN-55;21;14.23;64.8675;1;2019-10-08;15.785911060182748
OT25;3;403R;T-20-188-SN-57;20;21.0;103.2533333;1;2019-10-08;19.91627488275054
OT25;3;I09I;T-13-278-PO-5;12;53.27;16.1472;1;2019-10-08;7.875981432177198
OT25;4;108I;T-13-278-PO-5;12;58.792666666666676;587.63259992;15;2019-10-08;12.267706647543301
OT25;4;109R;T-13-278-PO-5;12;67.576875;275.17261663000005;16;2019-10-08;8.128280584038853
OT25;4;113I;E-20-188-SN-55;21;0.0;0.0;5;2019-10-08;0.0
OT25;4;113I;L-28-3-PO-35;14;23.7025;690.9602250000002;12;2019-10-08;14.872773783998737
OT25;4;115I;E-20-188-SN-55;21;0.0;0.0;4;2019-10-08;0.0
OT25;4;115I;L-28-3-PO-35;14;21.16866666666667;1015.43373329;15;2019-10-08;16.126355715219447
OT25;4;118I;T-13-278-PO-5;12;59.81636363636364;361.71964997;11;2019-10-08;11.239468635631361
OT25;4;118R;T-26-12-OP-15;2;56.7125;153.56801666;4;2019-10-08;12.144411191995436
OT25;4;118R;T-26-12-OP-35;3;75.157;376.53674580999996;10;2019-10-08;12.027067650527684
OT25;4;120R;T-26-12-OP-35;3;35.6890909090909;498.95088539999995;11;2019-10-08;13.200446691314653
OT25;4;121R;L-28-8-SN-10;13;66.73636363636363;265.81070830000004;11;2019-10-08;9.634872349040135
OT25;4;125R;L-28-3-PO-35;14;48.96;380.1983499700001;10;2019-10-08;12.085404342614078
OT25;4;201ER;E-20-188-SN-55;21;19.995454545454546;786.9027999000002;11;2019-10-08;16.577547236317837
OT25;4;203ER;E-20-205-SN-60;18;71.78;753.97708741;9;2019-10-08;17.939646902861877
OT25;4;203ER;E-22-205-SN-33;6;64.71133333333334;747.5821853799998;15;2019-10-08;13.836935410597746
OT25;4;203R;E-20-205-SN-60;18;49.52000000000001;1916.5180329500001;26;2019-10-08;16.827742290383643
OT25;4;203R;E-22-205-SN-33;6;55.505250000000004;2755.87763921;40;2019-10-08;16.26881951678512
OT25;4;205EI;E-20-205-SN-55;19;11.411538461538461;1398.3631998;26;2019-10-08;14.374057920102079
OT25;4;205ER;E-22-205-SN-32;8;96.97142857142856;531.4243958100001;7;2019-10-08;17.077637670958122
OT25;4;205ER;T-22-205-SN-40;7;73.87444444444445;558.3424437200001;9;2019-10-08;15.437790327615444
OT25;4;205I;E-20-205-SN-55;19;7.684285714285714;1542.340333;42;2019-10-08;11.877404140849409
OT25;4;205R;E-22-205-SN-32;8;67.58333333333333;535.32530621;12;2019-10-08;13.091045592109696
OT25;4;205R;T-22-205-SN-40;7;55.47666666666667;552.65201243;12;2019-10-08;13.30121539230873
OT25;4;206CR;E-22-205-SN-33;6;53.834;527.33978747;10;2019-10-08;14.233160322095555
OT25;4;206R;E-22-205-SN-33;6;64.65;589.54870827;10;2019-10-08;15.049286752833277
OT25;4;207ER;E-22-205-SN-32;8;105.55875;713.45796664;8;2019-10-08;18.50952499608048
OT25;4;207ER;T-22-205-SN-40;7;75.27250000000001;540.63374164;8;2019-10-08;16.112489650439745
OT25;4;208R;E-20-205-SN-60;18;20.71772727272727;1601.71490369;22;2019-10-08;16.723891421359802
OT25;4;209ER;E-22-205-SN-32;8;85.454;781.44658955;10;2019-10-08;17.326295675692712
OT25;4;209ER;T-22-205-SN-40;7;80.38714285714286;459.54017081000006;7;2019-10-08;15.880668932401054
OT25;4;209I;E-20-205-SN-55;19;19.55410256410256;2811.34983686;39;2019-10-08;16.6410687012594
OT25;4;209R;E-22-205-SN-32;8;75.655;687.16773121;12;2019-10-08;14.831901306014727
OT25;4;209R;T-22-205-SN-40;7;59.90214285714285;827.21881656;14;2019-10-08;15.066148919483838
OT25;4;211I;T-26-12-OP-15;2;37.89666666666667;313.56707499000004;6;2019-10-08;14.169211194708902
OT25;4;212R;E-22-205-SN-33;6;58.696363636363635;1439.76775609;22;2019-10-08;15.85590198660673
OT25;4;229R;L-24-1-SN-5;17;44.79692307692308;814.62353529;13;2019-10-08;15.515396257043577
OT25;4;229R;T-26-12-OP-15;2;60.13666666666667;490.22278747;9;2019-10-08;14.465437199464077
OT25;4;230R;E-22-205-SN-32;8;88.6842105263158;1418.3140186899996;19;2019-10-08;16.934230568817362
OT25;4;230R;T-22-205-SN-40;7;71.52000000000001;1232.55552911;18;2019-10-08;16.218962359995263
OT25;4;302ER;E-20-188-SN-55;21;0.0;0.0;1;2019-10-08;0.0
OT25;4;302ER;L-24-1-SN-5;17;11.04;124.4208;4;2019-10-08;10.931319056728698
OT25;4;302ER;T-26-12-OP-15;2;30.646666666666665;77.41033333;3;2019-10-08;9.956229817230483
OT25;4;302ER;T-26-12-OP-35;3;34.04;45.264766666;6;2019-10-08;5.383448826791638
OT25;4;302R;E-20-188-SN-55;21;15.0;216.09;3;2019-10-08;16.634615955891498
OT25;4;302R;L-24-1-SN-5;17;13.194285714285716;1286.7204;21;2019-10-08;15.342230992916253
OT25;4;302R;T-26-12-OP-15;2;27.793333333333333;474.56989999;9;2019-10-08;14.232621870593173
OT25;4;302R;T-26-12-OP-35;3;26.82;888.2899666499999;15;2019-10-08;15.083003095941335
OT25;4;329I;L-26-10-PO-30;5;24.606666666666666;227.63100833299998;9;2019-10-08;9.857130986764256
OT25;4;348I;T-13-278-PO-5;12;51.45272727272727;281.6691;11;2019-10-08;9.918119389921017
OT25;4;350CI;T-13-278-PO-5;12;47.885999999999996;151.28542500000003;5;2019-10-08;10.781262344271193
OT25;4;350R;T-13-278-PO-5;12;36.495999999999995;201.648268749;10;2019-10-08;8.801431640512574
OT25;4;385I;L-7-3-SN-5;1;38.74181818181819;379.96138124999993;11;2019-10-08;11.519389354909398
OT25;4;385R;L-21-19-OP-3;16;25.11333333333333;483.9115500000001;9;2019-10-08;14.372019924840073
OT25;4;403R;T-20-188-SN-57;20;13.985999999999999;1012.3491664000001;15;2019-10-08;16.101843699076284
OT25;4;412I;L-19-28-PO-100;9;18.80333333333333;377.92524162999996;6;2019-10-08;15.555479250336026
OT25;4;412I;L-9-19-PO-35;11;68.35166666666667;380.61421873;12;2019-10-08;11.038446383259618
OT25;4;421I;T-13-278-PO-5;12;45.98294117647059;1210.51946643;17;2019-10-08;16.53931427242995
OT25;4;D02I;L-19-16-PO-25;23;24.852;210.4866;5;2019-10-08;12.71695971968143
OT25;4;D02R;L-19-16-OP-20;10;16.050000000000004;306.8847;7;2019-10-08;12.97760853778538
OT25;4;D07I;L-21-19-OP-3;16;24.5075;505.15987499999994;8;2019-10-08;15.574908409843056
OT25;4;D08CR;L-19-28-PO-100;9;12.96;42.8652;1;2019-10-08;12.832418023116299
OT25;4;D08R;L-19-28-PO-100;9;23.855;288.51525000000004;6;2019-10-08;13.591419992039098
OT25;4;D18R;L-19-28-PO-100;9;14.3025;255.81719999999999;4;2019-10-08;15.674400750267935
OT25;4;E04I;L-21-19-OP-3;16;25.32;609.37379999;10;2019-10-08;15.300230031086407
OT25;4;G01CI;L-26-10-PO-30;5;19.18125;224.63607499;8;2019-10-08;10.386060042682113
OT25;4;G01I;L-26-10-PO-30;5;18.046666666666663;476.25833331999996;12;2019-10-08;12.347719132435325
OT25;4;G01R;E-22-205-SN-33;6;36.13666666666667;230.19972498299998;9;2019-10-08;9.912591675320462
OT25;4;G12I;T-26-12-OP-35;3;13.932500000000001;219.42416666;8;2019-10-08;10.264866527633567
OT25;4;G18R;L-26-10-PO-30;5;11.894666666666668;753.3299999999999;15;2019-10-08;13.890026465057579
OT25;4;H04R;L-28-3-PO-35;14;24.518181818181816;650.27409999;11;2019-10-08;15.069816257918234
OT25;4;H06I;L-28-3-PO-35;14;40.1125;301.45510832;8;2019-10-08;12.03157275734407
OT25;4;H06I;L-28-8-SN-10;13;62.4;94.53696665000001;8;2019-10-08;6.737703717538342
OT25;4;I01I;T-13-278-PO-5;12;28.26923076923077;666.9279937500002;13;2019-10-08;14.038602222745027
OT25;4;I03I;T-13-278-PO-5;12;34.39625;732.9430312500001;16;2019-10-08;13.265731106996139
OT25;4;I05I;T-13-278-PO-5;12;53.165000000000006;223.48655625;8;2019-10-08;10.359451931026562
OT25;4;I09CI;T-13-278-PO-5;12;66.58;13.26151875;1;2019-10-08;7.1376081729105865
OT25;4;I09I;T-13-278-PO-5;12;53.62461538461538;552.537;26;2019-10-08;9.035456097636008
OT25;4;I10I;T-13-278-PO-5;12;35.986875;598.997325;16;2019-10-08;11.992466707583558
OT25;4;I12I;T-13-278-PO-5;12;51.85333333333333;299.7312;9;2019-10-08;11.310994542774152
OT25;4;I16R;L-7-3-SN-5;1;14.229999999999999;648.6750000000002;10;2019-10-08;15.785911060182748
OT25;4;I17I;L-7-3-SN-5;1;38.512857142857136;284.78634375;7;2019-10-08;12.501629711761582
OT25;4;I18I;T-13-278-PO-5;12;31.155;370.4682;8;2019-10-08;13.337872005683666
OT25;4;I24I;T-13-278-PO-5;12;54.488749999999996;149.427683333;8;2019-10-08;8.470842551748119
OT25;4;J02I;L-9-19-PO-35;11;25.942;208.998233323;10;2019-10-08;8.960399617950289
OT25;4;J11I;L-10-67-PO-40;15;31.535;119.411533323;8;2019-10-08;7.572411656909877
OT25;4;J12R;L-10-67-PO-40;15;46.2125;448.30914582;12;2019-10-08;11.97992909892108
OT25;4;J18CI;L-9-19-PO-35;11;60.94285714285714;360.10998329000006;14;2019-10-08;9.940532149476507
OT25;4;J18I;L-9-19-PO-35;11;65.88000000000001;262.43759162000003;15;2019-10-08;8.198293529621036
OT25;5;118R;T-26-12-OP-15;2;110.0;98.61333333;1;2019-10-08;19.463632274591706
OT25;5;209ER;E-22-205-SN-32;8;60.38;77.97900833;1;2019-10-08;17.30792183945051
OT25;5;209I;E-20-205-SN-55;19;21.13;104.5480333;1;2019-10-08;20.04075160080779
OT25;5;329I;L-26-10-PO-30;5;11.88;144.795;4;2019-10-08;11.792417818242363
OT25;5;403R;T-20-188-SN-57;20;13.99;475.1208332;7;2019-10-08;16.14764110513235
OT25;5;412I;L-19-28-PO-100;9;13.997142857142856;482.9708333;7;2019-10-08;16.28049118776949
OT25;5;D02I;L-19-16-PO-25;23;17.286;221.15429999999998;5;2019-10-08;13.035231941779937
OT25;5;D02R;L-19-16-OP-20;10;13.272857142857147;330.69870000000003;7;2019-10-08;13.471727675394867
OT25;5;D08R;L-19-28-PO-100;9;13.325000000000003;287.8335;6;2019-10-08;13.575352503710539
OT25;5;D18R;L-19-28-PO-100;9;15.150000000000002;514.5525;7;2019-10-08;16.804356935033248
OT25;5;G01CI;L-26-10-PO-30;5;12.0;36.75;1;2019-10-08;11.881868539922499
OT25;5;G01I;L-26-10-PO-30;5;17.1;305.86624166;8;2019-10-08;12.119280888119228
OT25;5;G18R;L-26-10-PO-30;5;13.815714285714288;412.8375;7;2019-10-08;15.052083576701264
OT25;5;I17I;L-7-3-SN-5;1;71.17;15.15376875;1;2019-10-08;7.629857012421661
OT25;6;G01I;L-26-10-PO-30;5;12.0;36.75;1;2019-10-08;11.881868539922499
OT25;8;121I;L-28-8-NS-15;28;29.55;114.36763333;2;2019-10-07;14.821516457510816
OT25;8;H06R;L-28-8-NS-15;28;15.0;72.03;1;2019-10-07;16.634615955891498
OT25;9;105I;T-7-51-NS-20;24;57.85181818181818;1496.0659769899999;33;2019-10-07;13.196977451473135
OT25;9;113R;L-28-3-OP-40;27;16.27;890.1801750000001;14;2019-10-07;15.628993570284685
OT25;9;115R;L-28-3-OP-40;27;17.526;1083.4817999299999;15;2019-10-07;16.65793841308319
OT25;9;120I;T-7-51-NS-20;24;62.00555555555556;397.72046868999996;18;2019-10-07;9.213163748196575
OT25;9;121I;L-28-8-NS-15;28;64.59473684210526;421.87570827;19;2019-10-07;9.235736430586618
OT25;9;125I;L-28-3-OP-40;27;14.0;1008.4199999999998;15;2019-10-07;16.07056578966652
OT25;9;203I;E-20-199-NS-25;32;56.570882352941176;2792.66676216;34;2019-10-07;17.763403086711616
OT25;9;203I;T-20-201-NS-6;33;63.28303030303031;2701.2548600400005;33;2019-10-07;17.732986443118037
OT25;9;206I;E-20-199-NS-25;32;46.595555555555556;1166.11727066;18;2019-10-07;15.77578331734972
OT25;9;206I;T-20-201-NS-6;33;59.44562500000001;949.85691864;16;2019-10-07;15.10167693223054
OT25;9;208I;E-20-199-NS-25;32;6.032083333333333;494.87644152999997;24;2019-10-07;8.90018103229191
OT25;9;214R;E-20-199-NS-25;32;40.60714285714287;546.59878125;14;2019-10-07;12.24690595926171
OT25;9;214R;T-20-201-NS-6;33;32.99833333333334;555.64419375;12;2019-10-07;13.337174659293476
OT25;9;226I;E-20-199-NS-25;32;38.243333333333325;1080.6484498599998;21;2019-10-07;14.060107506501836
OT25;9;230I;E-20-199-NS-25;32;51.30033333333335;1939.6369080799998;30;2019-10-07;15.759980061408841
OT25;9;302EI;E-20-188-NS-25;29;33.488;86.773633328;10;2019-10-07;5.7736434752489245
OT25;9;302I;E-20-188-NS-25;29;37.565599999999996;1198.5985166199998;25;2019-10-07;13.571346376019429
OT25;9;385I;T-20-201-NS-6;33;25.450000000000006;490.77669375000005;15;2019-10-07;11.21120792394825
OT25;9;385R;T-7-51-NS-20;24;57.83214285714287;324.3014625;14;2019-10-07;9.433362142417728
OT25;9;424R;T-20-201-NS-6;33;7.140000000000001;191.19603333;14;2019-10-07;7.24321693350075
OT25;9;506I;T-20-189-PO-20;30;30.996086956521744;1528.6647830399997;23;2019-10-07;15.978951685871369
OT25;9;506VI;T-20-189-PO-20;30;30.135384615384616;697.5635166499999;13;2019-10-07;14.35741568121784
OT25;9;507CI;T-20-189-PO-20;30;29.97611111111111;615.32611875;18;2019-10-07;11.459680085194352
OT25;9;507I;T-20-189-PO-20;30;28.069000000000003;1651.9264916;30;2019-10-07;14.54423231631765
OT25;9;510I;T-20-189-PO-20;30;33.572500000000005;786.4574416400001;16;2019-10-07;13.741485790763821
OT25;9;D02I;L-19-16-OP-20;35;13.29692307692308;618.5322;13;2019-10-07;13.51965321448742
OT25;9;H04I;L-28-3-OP-40;27;17.425;834.66763333;12;2019-10-07;16.346404243238858
OT25;9;H06R;L-28-3-OP-40;27;17.115;790.24033333;12;2019-10-07;15.905416437282533
OT25;9;H06R;L-28-8-NS-15;28;39.68500000000001;574.60957497;14;2019-10-07;12.556785710195424
OT25;9;H06R;T-20-189-PO-20;30;12.059000000000001;273.86976666;10;2019-10-07;10.25718331512631
OT25;9;I04R;T-7-51-NS-20;24;58.25454545454546;487.0300083299999;22;2019-10-07;9.22194635342662
OT25;9;I13R;T-7-51-NS-20;24;45.85692307692308;415.17001875000005;13;2019-10-07;11.076368274671706
OT25;9;I14R;T-7-51-NS-20;24;59.449999999999996;602.6044020200001;23;2019-10-07;10.032480015039917
OT25;10;115R;L-28-3-OP-40;27;15.0;72.03;1;2019-10-07;16.634615955891498
OT25;10;203I;E-20-199-NS-25;32;60.38;77.97900833;1;2019-10-07;17.30792183945051
OT25;10;385R;T-7-51-NS-20;24;41.85;38.127675;1;2019-10-07;12.102531812806772
OT25;10;D02I;L-19-16-OP-20;35;14.663333333333334;600.2828999999999;9;2019-10-07;16.007105327322613
OT25;10;D02R;L-19-28-PO-100;25;14.42;189.8802;3;2019-10-07;15.59320125695811
